OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,METAR,LAT,LON,ID,GRIDCODE,CLIMATE_ID
886,886,801,0.000000000000000,1,KAIT,46.548400000000001,-93.676800000000000,801,42,Dfb
887,887,801,0.000000000000000,1,KPKD,46.900700000000001,-95.073099999999997,801,42,Dfb
888,888,801,0.000000000000000,1,KSAZ,46.380899999999997,-94.806600000000003,801,42,Dfb
889,889,801,0.000000000000000,1,KPWC,46.724800000000002,-94.381699999999995,801,42,Dfb
890,890,801,0.000000000000000,1,KBJI,47.510700000000000,-94.934700000000007,801,42,Dfb
891,891,801,0.000000000000000,1,KDTL,46.825200000000002,-95.885599999999997,801,42,Dfb
892,892,801,0.000000000000000,1,KCKN,47.841700000000003,-96.621499999999997,801,42,Dfb
893,893,801,0.000000000000000,1,KJKJ,46.839300000000001,-96.664000000000001,801,42,Dfb
894,894,801,0.000000000000000,1,KFFM,46.284399999999998,-96.156700000000001,801,42,Dfb
895,895,801,0.000000000000000,1,KFSE,47.592799999999997,-95.773499999999999,801,42,Dfb
896,896,801,0.000000000000000,1,KFAR,46.920699999999997,-96.815799999999996,801,42,Dfb
897,897,801,0.000000000000000,1,KBWP,46.244300000000003,-96.607200000000006,801,42,Dfb
898,898,801,0.000000000000000,1,KBDE,48.728400000000001,-94.612200000000001,801,42,Dfb
899,899,801,0.000000000000000,1,KVWU,48.151000000000003,-94.516400000000004,801,42,Dfb
900,900,801,0.000000000000000,1,KFOZ,47.783000000000001,-93.650000000000006,801,42,Dfb
901,901,801,0.000000000000000,1,KINL,48.565600000000003,-93.402199999999993,801,42,Dfb
902,902,801,0.000000000000000,1,KRRT,48.941499999999998,-95.348500000000001,801,42,Dfb
903,903,801,0.000000000000000,1,KTVF,48.065700000000000,-96.185000000000002,801,42,Dfb
904,904,801,0.000000000000000,1,KGFK,47.947299999999998,-97.173800000000000,801,42,Dfb
905,905,801,0.000000000000000,1,KFGN,49.318300000000001,-94.902799999999999,801,42,Dfb
906,906,801,0.000000000000000,1,KGAF,48.405000000000001,-97.370999999999995,801,42,Dfb
907,907,801,0.000000000000000,1,KROX,48.856000000000002,-95.697100000000006,801,42,Dfb
908,908,801,0.000000000000000,1,KHCO,48.752699999999997,-96.942999999999998,801,42,Dfb
909,909,594,0.000000000000000,1,KBKX,44.304800000000000,-96.816900000000004,594,49,Dwa
910,910,836,0.000000000000000,1,KYKN,42.916699999999999,-97.385900000000007,836,41,Dfa
911,911,594,0.000000000000000,1,KMDS,44.015999999999998,-97.085999999999999,594,49,Dwa
912,912,836,0.000000000000000,1,KATY,44.914000000000001,-97.154700000000005,836,41,Dfa
913,913,801,0.000000000000000,1,KABR,45.449100000000001,-98.421800000000005,801,42,Dfb
914,914,836,0.000000000000000,1,KHON,44.385199999999998,-98.228600000000000,836,41,Dfa
915,915,836,0.000000000000000,1,KMHE,43.774799999999999,-98.038600000000002,836,41,Dfa
916,916,836,0.000000000000000,1,KONL,42.469499999999996,-98.687299999999993,836,41,Dfa
917,917,836,0.000000000000000,1,K9V9,43.766100000000002,-99.321299999999994,836,41,Dfa
918,918,836,0.000000000000000,1,KPIR,44.382700000000000,-100.286000000000000,836,41,Dfa
919,919,801,0.000000000000000,1,KMBG,45.546300000000002,-100.406000000000010,801,42,Dfb
920,920,836,0.000000000000000,1,KPHP,44.048600000000000,-101.599000000000000,836,41,Dfa
921,921,836,0.000000000000000,1,KICR,43.390300000000003,-99.842200000000005,836,41,Dfa
922,922,836,0.000000000000000,1,KIEN,43.022500000000001,-102.511000000000000,836,41,Dfa
923,923,836,0.000000000000000,1,KMIS,43.033000000000001,-100.617000000000000,836,41,Dfa
924,924,1388,0.000000000000000,1,KHEI,46.014899999999997,-102.656000000000010,1388,26,BSk
925,925,836,0.000000000000000,1,KD07,45.036099999999998,-102.020000000000000,836,41,Dfa
926,926,801,0.000000000000000,1,K7L2,46.220999999999997,-100.246000000000000,801,42,Dfb
927,927,1388,0.000000000000000,1,K2WX,45.603000000000002,-103.546000000000010,1388,26,BSk
928,928,836,0.000000000000000,1,KRCA,44.145099999999999,-103.104000000000000,836,41,Dfa
929,929,836,0.000000000000000,1,KRAP,44.045299999999997,-103.057000000000000,836,41,Dfa
930,930,614,0.000000000000000,1,KSPF,44.481000000000002,-103.786000000000000,614,42,Dfb
931,931,614,0.000000000000000,1,KCUT,43.733300000000000,-103.617999999999990,614,42,Dfb
932,932,836,0.000000000000000,1,KCDR,42.837600000000002,-103.095000000000000,836,41,Dfa
933,933,801,0.000000000000000,1,KRDR,47.961300000000001,-97.400800000000004,801,42,Dfb
934,934,801,0.000000000000000,1,KJMS,46.929699999999997,-98.678200000000004,801,42,Dfb
935,935,801,0.000000000000000,1,K2C8,48.783999999999999,-97.632000000000005,801,42,Dfb
936,936,801,0.000000000000000,1,K06D,48.884000000000000,-99.620999999999995,801,42,Dfb
937,937,801,0.000000000000000,1,KDVL,48.114600000000003,-98.908299999999997,801,42,Dfb
938,938,801,0.000000000000000,1,KRUG,48.390000000000001,-100.024000000000000,801,42,Dfb
939,939,801,0.000000000000000,1,K46D,47.451000000000001,-99.150999999999996,801,42,Dfb
940,940,801,0.000000000000000,1,KN60,47.640799999999999,-101.437000000000000,801,42,Dfb
941,941,801,0.000000000000000,1,KBIS,46.772700000000000,-100.746000000000000,801,42,Dfb
942,942,801,0.000000000000000,1,KY19,46.768000000000001,-100.894000000000010,801,42,Dfb
943,943,801,0.000000000000000,1,KHZE,47.289999999999999,-101.581000000000000,801,42,Dfb
944,944,801,0.000000000000000,1,KDIK,46.797300000000000,-102.802000000000010,801,42,Dfb
945,945,1388,0.000000000000000,1,KGDV,47.138700000000000,-104.807000000000000,1388,26,BSk
946,946,1388,0.000000000000000,1,KBHK,46.347600000000000,-104.259000000000000,1388,26,BSk
947,947,801,0.000000000000000,1,KS25,47.796999999999997,-103.255000000000000,801,42,Dfb
948,948,801,0.000000000000000,1,KMOT,48.257599999999996,-101.278000000000010,801,42,Dfb
949,949,801,0.000000000000000,1,KMIB,48.415799999999997,-101.358000000000000,801,42,Dfb
950,950,801,0.000000000000000,1,KD60,48.380000000000003,-102.897000000000010,801,42,Dfb
951,951,1388,0.000000000000000,1,KD50,48.929000000000002,-103.297000000000000,1388,26,BSk
952,952,801,0.000000000000000,1,CYEN,49.210299999999997,-102.965999999999990,801,42,Dfb
953,953,1388,0.000000000000000,1,KISN,48.177900000000001,-103.642000000000000,1388,26,BSk
954,954,1388,0.000000000000000,1,KSDY,47.706899999999997,-104.193000000000000,1388,26,BSk
955,955,895,0.000000000000000,1,KLVM,45.699399999999997,-110.447999999999990,895,42,Dfb
956,956,1388,0.000000000000000,1,KBIL,45.807699999999997,-108.543000000000010,1388,26,BSk
957,957,1388,0.000000000000000,1,KSHR,44.769199999999998,-106.980000000000000,1388,26,BSk
958,958,1388,0.000000000000000,1,KMLS,46.427999999999997,-105.886000000000000,1388,26,BSk
959,959,1388,0.000000000000000,1,KCOD,44.520000000000003,-109.024000000000000,1388,26,BSk
960,960,685,0.000000000000000,1,KP60,44.543999999999997,-110.421000000000010,685,43,Dfc
961,961,895,0.000000000000000,1,KLWT,47.049300000000002,-109.467000000000000,895,42,Dfb
962,962,1388,0.000000000000000,1,KJDN,47.328800000000001,-106.953000000000000,1388,26,BSk
963,963,1388,0.000000000000000,1,KOLF,48.094499999999996,-105.575000000000000,1388,26,BSk
964,964,1388,0.000000000000000,1,KGGW,48.212499999999999,-106.614999999999990,1388,26,BSk
965,965,1388,0.000000000000000,1,KGCC,44.348900000000000,-105.539000000000000,1388,26,BSk
966,966,1388,0.000000000000000,1,KGFA,47.504700000000000,-111.187000000000000,1388,26,BSk
967,967,1388,0.000000000000000,1,KGTF,47.482700000000001,-111.371000000000000,1388,26,BSk
968,968,1388,0.000000000000000,1,KCTB,48.608400000000003,-112.376000000000000,1388,26,BSk
969,969,590,0.000000000000000,1,KGPI,48.310499999999998,-114.256000000000000,590,42,Dfb
970,970,1388,0.000000000000000,1,KHVR,48.542999999999999,-109.762000000000000,1388,26,BSk
971,971,1388,0.000000000000000,1,KHLN,46.606800000000000,-111.983000000000000,1388,26,BSk
972,972,1388,0.000000000000000,1,KBTM,45.954799999999999,-112.497000000000000,1388,26,BSk
973,973,895,0.000000000000000,1,KBZN,45.777600000000000,-111.152000000000000,895,42,Dfb
974,974,1388,0.000000000000000,1,KDLN,45.255400000000002,-112.553000000000000,1388,26,BSk
975,975,895,0.000000000000000,1,KWYS,44.688000000000002,-111.117999999999990,895,42,Dfb
976,976,590,0.000000000000000,1,KSMN,45.123800000000003,-113.881000000000000,590,42,Dfb
977,977,590,0.000000000000000,1,KMSO,46.916300000000000,-114.090999999999990,590,42,Dfb
978,978,517,0.000000000000000,1,KMLP,47.452500000000001,-115.669000000000000,517,46,Dsb
979,979,517,0.000000000000000,1,KSZT,48.299500000000002,-116.560000000000000,517,46,Dsb
980,980,462,0.000000000000000,1,CWJR,49.066699999999997,-116.500000000000000,462,43,Dfc
981,981,836,0.000000000000000,1,KUGN,42.422199999999997,-87.867900000000006,836,41,Dfa
982,982,836,0.000000000000000,1,KPWK,42.114300000000000,-87.901499999999999,836,41,Dfa
983,983,836,0.000000000000000,1,KORD,41.980899999999998,-87.906700000000001,836,41,Dfa
984,984,836,0.000000000000000,1,KDPA,41.906900000000000,-88.248199999999997,836,41,Dfa
985,985,836,0.000000000000000,1,KDKB,41.933799999999998,-88.705699999999993,836,41,Dfa
986,986,836,0.000000000000000,1,KRPJ,41.893000000000001,-89.078299999999999,836,41,Dfa
987,987,836,0.000000000000000,1,KARR,41.771900000000002,-88.475700000000003,836,41,Dfa
988,988,836,0.000000000000000,1,KMDW,41.786000000000001,-87.752399999999994,836,41,Dfa
989,989,836,0.000000000000000,1,KRFD,42.195399999999999,-89.097200000000001,836,41,Dfa
990,990,836,0.000000000000000,1,KLOT,41.608100000000000,-88.096199999999996,836,41,Dfa
991,991,836,0.000000000000000,1,KJOT,41.517699999999998,-88.175600000000003,836,41,Dfa
992,992,836,0.000000000000000,1,KC09,41.425300000000000,-88.418599999999998,836,41,Dfa
993,993,836,0.000000000000000,1,KPNT,40.924399999999999,-88.623900000000006,836,41,Dfa
994,994,836,0.000000000000000,1,KVYS,41.351900000000001,-89.153099999999995,836,41,Dfa
995,995,836,0.000000000000000,1,KTIP,40.293599999999998,-88.142399999999995,836,41,Dfa
996,996,836,0.000000000000000,1,KFEP,42.246200000000002,-89.581999999999994,836,41,Dfa
997,997,836,0.000000000000000,1,KSQI,41.742800000000003,-89.676299999999998,836,41,Dfa
998,998,836,0.000000000000000,1,KC75,41.019300000000001,-89.386399999999995,836,41,Dfa
999,999,836,0.000000000000000,1,KGBG,40.938000000000002,-90.431100000000001,836,41,Dfa
1000,1000,836,0.000000000000000,1,KMQB,40.520099999999999,-90.652400000000000,836,41,Dfa
1001,1001,836,0.000000000000000,1,KPIA,40.664200000000001,-89.693299999999994,836,41,Dfa
1002,1002,836,0.000000000000000,1,KBMI,40.477100000000000,-88.915899999999993,836,41,Dfa
1003,1003,836,0.000000000000000,1,KAAA,40.158700000000003,-89.334999999999994,836,41,Dfa
1004,1004,836,0.000000000000000,1,KDEC,39.834600000000002,-88.865700000000004,836,41,Dfa
1005,1005,836,0.000000000000000,1,KCMI,40.038800000000002,-88.277799999999999,836,41,Dfa
1006,1006,1314,0.000000000000000,1,KMTO,39.477899999999998,-88.279200000000003,1314,31,Cfa
1007,1007,1314,0.000000000000000,1,KALN,38.890300000000003,-90.046000000000006,1314,31,Cfa
1008,1008,1314,0.000000000000000,1,KSET,38.929699999999997,-90.430000000000007,1314,31,Cfa
1009,1009,1314,0.000000000000000,1,K3LF,39.162500000000001,-89.674599999999998,1314,31,Cfa
1010,1010,1314,0.000000000000000,1,KCPS,38.570700000000002,-90.156199999999998,1314,31,Cfa
1011,1011,836,0.000000000000000,1,KIJX,39.774600000000000,-90.238299999999995,836,41,Dfa
1012,1012,836,0.000000000000000,1,KPPQ,39.638900000000000,-90.778400000000005,836,41,Dfa
1013,1013,836,0.000000000000000,1,KTAZ,39.532600000000002,-89.330699999999993,836,41,Dfa
1014,1014,1314,0.000000000000000,1,K1H2,39.070500000000003,-88.533500000000004,1314,31,Cfa
1015,1015,1314,0.000000000000000,1,KSAR,38.148899999999998,-89.698800000000006,1314,31,Cfa
1016,1016,1314,0.000000000000000,1,KBLV,38.545200000000001,-89.835200000000000,1314,31,Cfa
1017,1017,1314,0.000000000000000,1,KENL,38.515099999999997,-89.091099999999997,1314,31,Cfa
1018,1018,1314,0.000000000000000,1,KSLO,38.642899999999997,-88.964200000000005,1314,31,Cfa
1019,1019,1314,0.000000000000000,1,KMDH,37.778100000000002,-89.251999999999995,1314,31,Cfa
1020,1020,836,0.000000000000000,1,KUIN,39.942999999999998,-91.194500000000005,836,41,Dfa
1021,1021,836,0.000000000000000,1,KHAE,39.725000000000001,-91.444000000000003,836,41,Dfa
1022,1022,1314,0.000000000000000,1,KOLY,38.721800000000002,-88.176400000000001,1314,31,Cfa
1023,1023,836,0.000000000000000,1,KSPI,39.844200000000001,-89.678100000000001,836,41,Dfa
1024,1024,1314,0.000000000000000,1,KFWC,38.378599999999999,-88.412700000000001,1314,31,Cfa
